City,Country,CountryCode,DepartmentNameNative,InstituteNameHEPnew,InstituteNameHEPold,InstituteNameNative,Latitude,Longitude,ZIPcode,recid,LatitudeCity,LongitudeCity
Lincoln University,USA,US,,,Lincoln U.,,39.780905,-75.881784,19352,905150,37.804726,-122.269669
Denver,USA,US,,,"Metropolitan State Coll., Denver",,39.790486,-104.9000469,80217,907439,39.7392358,-104.990251
Denver,USA,US,,,Denver Community Coll.,,39.794533,-105.098402,80002,903759,39.7392358,-104.990251
Baltimore,USA,US,,Johns Hopkins U.,Johns Hopkins U. (main),The Johns Hopkins University,39.7957198,-76.977775,410-516-8000,1269385,39.2903848,-76.6121893
Yellow Springs,USA,US,,,Antioch Coll.,,39.800073,-83.889794,45387,909534,39.8064486,-83.886874
Denver,USA,US,,,"Regis U., CO",,39.8042947,-105.0206757,80221,911363,39.7392358,-104.990251
Dayton,USA,US,,,"AFIT, Ohio",,39.8137298,-84.0537448,45433,910845,39.7589478,-84.1916069
Wright-Patterson AFB,USA,US,,,"Flight Dynam. Lab, Wright-Patt. AFB",,39.813758,-84.059048,45433,906209,39.8137298,-84.0537448
Wright-Patterson AFB,USA,US,,,"Aero. Syst. Div., Wright-Patt. AFB",,39.813758,-84.059048,45433,906952,39.8137298,-84.0537448
Decatur,USA,US,,,"Millikin U., Decatur",,39.8231401,-89.0466016,62522,906872,33.7748275,-84.2963123
Paulsboro,USA,US,,,"Mobil Corp., Paulsboro",,39.831157,-75.224233,8066,905328,39.830391,-75.2404607
Richmond,USA,US,,,Earlham Coll.,,39.83244,-84.893606,47374,905993,37.5407246,-77.4360481
Gettysburg,USA,US,,,Gettysburg Coll.,,39.835234,-77.233508,17325,904982,39.8309293,-77.2310955
Indianapolis,USA,US,,,Butler U.,,39.839496,-86.169077,46208,906804,39.768403,-86.158068
Mont Alto,USA,US,,,"Penn State U., Mont Alto",,39.841689,-77.553676,17237,905375,39.8442593,-77.5583232
Chester,USA,US,,,Widener U.,,39.849817,-75.374687,19013,905083,39.849557,-75.3557457
Aston,USA,US,,,"Neumann Coll., Aston",,39.864282,-75.43321,19014,909292,39.8648194,-75.4257325
Haddon Heights,USA,US,,,"CHI Res., Haddon Heights",,39.88625,-75.060484,8035,907822,39.8773356,-75.0646165
Uniontown,USA,US,,,"Penn State U., Uniontown",,39.889733,-79.728216,15401,905040,39.900076,-79.7164326
Swarthmore,USA,US,,,Swarthmore Coll.,,39.896724,-75.347428,19081,903644,39.9020565,-75.3499123
Westminster,USA,US,Physics,"Front Range Commun. Coll., Westminster",Front Range Coll.,Front Range Community College (FRCC),39.9014731,-105.0378855,80031,910716,39.8366528,-105.0372046
Media,USA,US,,,"Penn State U., Media",,39.915562,-75.407226,19063,904469,39.9167783,-75.387693
Broomfield,USA,US,,,"Cielo Comm., Broomfield",,39.918766,-105.112631,80021,908717,39.9205411,-105.0866504
Broomfield,USA,US,,,"Cielo Comm., Broomfield",,39.918766,-105.112631,80021,909147,39.9205411,-105.0866504
Springfield,USA,US,,,Wittenberg U.,,39.924167,-83.808889,45501,908371,42.1014831,-72.589811
Columbus,USA,US,,"Hyper Tech Res., Columbus","Hyper Tech., Columbus","Hyper Tech Research, Inc.(Hyper Tech)",39.94152,-83.117419,43228-2412,1227596,39.9611755,-82.9987942
Philadelphia,USA,US,,,Philadelphia Coll. Pharmacy Sci.,,39.94563,-75.20841,19104,905729,39.9525839,-75.1652215
Camden,USA,US,,,"Rutgers U., Camden",,39.948151,-75.120466,8102,905402,39.9259463,-75.1196199
York,USA,US,,,"Penn State U., York",,39.94943,-76.712998,17403,906109,39.9625984,-76.727745
Philadelphia,USA,US,Department of Physics & Astronomy,"UPenn, Philadelphia, Dept. Phys. Astron.",Pennsylvania U.,University of Pennsylvania,39.9517664189,-75.198260154,19104,903126,39.9525839,-75.1652215
Philadelphia,USA,US,Department of Mathematics,"UPenn, Philadelphia, Dept. Math.","Pennsylvania U., Dept. Math.",University of Pennsylvania,39.952193,-75.189983,19101,908161,39.9525839,-75.1652215
Philadelphia,USA,US,,,"General Electric, Philadelphia",,39.952222,-75.164167,19101,904555,39.9525839,-75.1652215
Philadelphia,USA,US,,,"Lockheed Martin, Philadelphia",,39.9522725,-75.162537,19101,910012,39.9525839,-75.1652215
Philadelphia,USA,US,Department of Physics,"Drexel U., Dept. Phys.",Drexel U.,Drexel University,39.9541,-75.1898,19104,902777,39.9525839,-75.1652215
Philadelphia,USA,US,,,"Sciences U., Philadelphia",,39.9583587,-75.1953934,19104,908721,39.9525839,-75.1652215
Philadelphia,USA,US,,,"UPenn, Philadelphia",http://www.upenn.edu/,39.9583587,-75.1953934,19104,1269102,39.9525839,-75.1652215
Philadelphia,USA,US,,,Franklin Inst.,,39.95898,-75.17202,19103,904569,39.9525839,-75.1652215
West Chester,USA,US,,,"West Chester U., Geo. Astron. Dept.",,39.960556,-75.605833,19383,909216,39.9606643,-75.6054882
Columbus,USA,US,,,"CVI, Columbus",,39.961111,-82.998889,43216,905222,39.9611755,-82.9987942
York,USA,US,,,"York Coll., Penn",,39.9625,-76.728056,17405,905703,39.9625984,-76.727745
Moorestown,USA,US,,,"RCA, Moorestown",,39.9683,-74.953323,8057,904927,39.9688817,-74.948886
Moorestown,USA,US,,,"General Electric, Moorestown",,39.9683,-74.953323,8057,906336,39.9688817,-74.948886
Moorestown,USA,US,,,"Lockheed Martin, Moorestown",,39.9683,-74.953323,8057,907928,39.9688817,-74.948886
Louisville,USA,US,,,"StorageTek, Louisville",,39.977778,-105.131389,80028,908872,38.2526647,-85.7584557
